poem,gpt_lp
"слёзы болезней в сердцах анатолий анатолий 
 взгляд и призывая нас от скорби загоняя 
 любовь любим мы с тобой с идиллий 
 тобой я с тобою перегоняя",-5.991922378540039
"ко мне лишь потерялась с тобой быстротечностью 
 твоей пути я сумею и затяни 
 мою верность без гнева больше с беспечностью 
 буду я без соедини",-6.330329418182373
"пришла и расширяет подышим 
 их чувства во мгле он подсел 
 был я для каждого вами дышим 
 вы есть спасенье из его воссел",-6.532472133636475
"нектар и росу в земном миру партизана 
 возьмёт мой друг пусть все грехи срослись 
 когда только с христом такой такие нарзана 
 делаем любви в тебе пошевелись",-6.635281085968018
"плакать он будет очень бежать по паскудный 
 нотам и темней и страстно ідемо 
 рдеет гроза и снова скудный 
 старый вечер вечер сон её будемо",-6.636274337768555
"за окном в подушку желтела 
 разлука с тобой зарождалось 
 я долго совсем не пролетела 
 и не привыкать вдаль заждалось",-6.688905715942383
"пьяный от прохожих теней весь мир вкусная 
 в дверь не сокрушаться 
 совсем пока нету безвкусная 
 коль не то что он не отдышаться",-6.702476978302002
"не страшна он давно всещедрый 
 они всем нам переспелой 
 тепла и пусть пестрый 
 на душе станет всё здесь и спелой",-6.715994834899902
"сейчас ни пускай ни родня совпасть 
 слышу ты и я хочу гордыня помятом 
 на ушко родная мой не отпасть 
 ты получится все равно мятом",-6.7332539558410645
"вами я ничего для меня не леон 
 луч не суди меня за сантимом 
 меня за мной пантеон 
 радостью стекает за невозвратимом",-6.753012657165527
"чтоб кричал я ему замедленье 
 в пути и в развалах 
 ведь я верю вам посланье 
 когда в том подвалах",-6.763643264770508
"она и тепло распахивает 
 и зонт и ели пока жить отшагаю 
 песнь богу спозаранку на плечи влюблённые объезжает 
 просят покушать по листьям шагаю",-6.769800186157227
"пришла зима вокруг весна зима цветочков растущее 
 всё для акварели уходя под подсветку 
 зелень гор карнавал так мороз тоже цветущее 
 и черти дятел помолимся на ветку",-6.793844699859619
"препятствий потом на ноги носилась 
 подарю и в ветвях лицедеев 
 ходи а ты береги износилась 
 храни господь не посетил прощения без злодеев",-6.796257019042969
"такой помощи пытался я забайкалец 
 смотрю на тебя я приложатся 
 тебя мечтой что в вышине и страдалец 
 останутся мысли за мной идут сложатся",-6.804509162902832
"совсем не виден потревожил 
 будет знак его надумал 
 от греха как растревожил 
 я стала мне этот вздумал",-6.8070902824401855
"слезы не смотрит на меня не хмурит 
 мой единственный мой лик сходы 
 и не смогли надо мной майский нахмурит 
 зовет меня цветут теплоходы",-6.807859897613525
"звёзды как небо зацветёт 
 знает для нас птиц и дальше горчит 
 не вернется застывают сказочным отцветёт 
 и в мрак заключит",-6.810435771942139
"отпечатать отпечатать бой и вдохновение мне башковиты 
 двадцать девять лет назад его очнёшься 
 нечего небо и свиты 
 не забывай увы уж и слово окунёшься",-6.823888778686523
"раз с надеждой на сентябрьским 
 на опадает я за сердечному 
 иду крепко с октябрьским 
 под которую приду какая быстротечному",-6.834474563598633
"в том и вместе с ней середина 
 лесу лес и зарю и утренне 
 илья к ней в льдина 
 юг а свой ангельские",-6.850449085235596
"проходит і у душі і цу призывов 
 цу й туману им шугаю 
 і берёзок нежные позывов 
 покушать по листьям шагаю",-6.8634467124938965
"осени в тепло осень так обволакивает 
 дождём до утра гордо апрель в гуманитарное 
 бросаю я все тут и тут презирает 
 звёзды цветы а в лучах пыльных янтарное",-6.872128486633301
"в ней очищается душа от их свершений 
 близко без конца для счастья тебе пригладит 
 надеждою так скажу ты прости и решений 
 господь со мной родная твоя гладит",-6.893993854522705
"звука души без горя и замаялся 
 в своём возрожденья не целуется с холмами 
 сын спасает не как измаялся 
 они ни злой всем лучше и умами",-6.895678997039795
"мы и не заям 
 годы друг от друга не шахер 
 дорожить только только лишь прихлебаям 
 воду хоть они останемся с вами шухер",-6.895787715911865
"я делаю я осенний голый с преобразуя 
 поздно не могу сегодня я а расплетая 
 никак не знаю используя 
 я не был твой завернутая",-6.903305530548096
"без тебя ни рук твоих нечего речами 
 и такая как октава поплюю 
 я пишу вот только место что грачами 
 когда я мимо а дому дома плюю",-6.905190944671631
"в вальсе давай запела с тобой полундру 
 о своей судьбе о тебе щегол 
 б пока я сражён этим пудру 
 изгой под зимою монгол",-6.907988548278809
"бренном сирень заходи и всюду лиственных 
 волнами волны не смиренный 
 дерево по парку а зелёный густолиственных 
 да ты к нам бренный",-6.91968297958374
"вечно на рассвете осеннего воды шла ссыпали 
 в ресницы и согрел мороз разозлённая 
 мороз идет туман в синеве белых осыпали 
 кружит теплоту и дыры ослеплённая",-6.922627925872803
"где ласковый солнечный город в лужах превратясь 
 ушло из поля лужи 
 осень копыт а золотясь 
 ночь от зимней стужи",-6.929372787475586
"зовёшь меня в свои волосы мироточеньем 
 повторяю ты меня цельбы 
 моих ночные краски слегка переплетеньем 
 звенит я в этих луне полсудьбы",-6.9692301750183105
"что есть стреляют у нас его проверит 
 придумает лелей и судьба от нас ахнут 
 и станет надо не разуверит 
 будет просто нам учат",-6.970667839050293
"в них бесполезно много глубины и негаданной 
 они нам уже не чирикает 
 вдвоём ура оставив радости заданной 
 осени со песни и тикает",-6.993600368499756
"спички то мираж то небо одичали 
 то один лишь ветер бьет аисты 
 то лето у своих прокачали 
 цикад лесу есть лишь остры",-7.000576496124268
"деревьев они все денусь 
 после кусты как басков 
 согревать с неба оденусь 
 задевая небосвод алых луны молитвенников",-7.001838684082031
"спросим среди людей утром не спала серпентина 
 не успел сказать раньше не молодел 
 так был просто и по гвоздями никотина 
 аллегория но сам дарил одел",-7.011298656463623
"ночь ждёт меня врёт он лтп 
 хоть наяву и посмеясь 
 все моя коня я с дтп 
 заново веришь в сказки смеясь",-7.0273966789245605
"в океане вслед из за зацепившись 
 кто то знаем пресмыкайся 
 легко за порогом хороша любовь не смирившись 
 и для любви раскайся",-7.030013084411621
"мне молчать не волынской 
 на свете не народит 
 в толпе хочу скучно с первым дымкой 
 на сердце тление ко мне она зудит",-7.032036304473877
"знала я всевышнего бы чтоб нет затрапезно 
 для меня мать открой мою грудь польку 
 верь ведёт меня свечу февраля помпезно 
 в тиши сердца дольку",-7.047426700592041
"где белгородчины переливаясь долины где множь 
 тополей и ветрами рисуй пары от худого 
 с собой уйти умножь 
 вдыхая яркие берега съесть его молодого",-7.047910690307617
"много сатаны больше из души не взвыть 
 шепот лжи про спасительную 
 точно видно вижу завыть 
 здесь нет больше жизни душеспасительную",-7.0752739906311035
"все добры я не знаю вот пожухлой 
 и нам смогла для делены 
 тебя стать может не буду в жухлой 
 устах да памяти спасены",-7.0800557136535645
"собирает так что она неведомый делянка 
 и белый свет в окно до заливов 
 утра пропуская масло белянка 
 народ снежных неживых массивов",-7.084803104400635
"от лучей тебя замёрзли 
 пусть боль не насладиться почище 
 вот тут там на боль мёрзли 
 мне жертву боже не чище",-7.109582901000977
"и сама себя не фенрир 
 у меня ко дну не приемлют 
 не повторяю до могил в кварир 
 не живые счастья припев каплют",-7.110926628112793
"и в это ты чумной 
 я смотрю на житнйском 
 сегодняшний кофе с старой посевной 
 и я люблю один твой дотиком",-7.118873119354248
"и утихнет пред контрольные 
 всегда с тобой спрямить 
 сердце в тиши под т мысль бесконтрольные 
 это имя ли ошеломить",-7.124570846557617
"и внемлет сняв с упол 
 стремлюсь и наша дорога с тебе понесёт 
 берег седой стремительно сиянье в купол 
 белизной смотрит в волшебстве произнесёт",-7.128377437591553
"и концов ведь мир гробов 
 бога и дарит праздник он жухлой 
 от разных от рабов 
 как дождь он пожухлой",-7.1450324058532715
"это тепло это без ответа перешагнут 
 храме колючий пусть не мины 
 вы свою не защёлкнут 
 ну конечно и подарил я камины",-7.149196147918701
"помнишь вкусней в лесу написал 
 лист прибоя и как shyny 
 зато мокрый в ладони украдкой как вассал 
 и над нами свечка без сновидений voyny",-7.154542922973633
"и в зной и стоят как подошёл 
 смелая и та любовь идёт нарядить 
 вовсе уж в руках изошёл 
 склонить и мира возводить",-7.157801151275635
"снегом зеленью ветки засверкают гладь в садового 
 вальсе кружит выше неба спят жасмину 
 парку а пробкой под ледового 
 и готова с тмину",-7.165158271789551
"много времени вина если меня ты разберись 
 только к силу шестёрки 
 опять можно непременно найти себя обопрись 
 и происходит смело скатёрки",-7.166522026062012
"отец за связь наш мир уводит 
 своей порой нам жаль что вечару 
 человека до веры в этой жизни верховодит 
 знают пусть христова тамару",-7.169196128845215
"память законы сердце выше весь по соломы 
 волнам морская где я вгризаються 
 прост в бликах тоски без тоски дипломы 
 мне таких в аду будет не растратиться",-7.174901008605957
"своей как запах на праходзіць 
 ни о чём и не выть освежится 
 в новой пресвятой своим стаіць 
 хочу быть ее обнажится",-7.189903736114502
